school_name,lsat,gpa,selectivity
University of Wyoming,157.0,3.5,294.9686589542051
Mercer University,157.0,3.43,294.81431208836744
Hofstra University,159.0,3.37,294.57940692335427
Elon University,157.0,3.415,294.09224622743324
Cleveland State University,157.0,3.4,293.96518759029453
University of Memphis,157.0,3.35,293.86584723102425
Vermont Law School,158.0,3.36,293.84532535777856
Samford University,157.0,3.4,293.8165137391859
West Virginia University,157.0,3.4,293.23743020153523
Pace University,156.0,3.4,293.0339556401312
University of Idaho,158.0,3.365,292.9226626988033
Albany Law School Of Union University,157.0,3.355,292.74770179917505
Willamette University,158.0,3.35,292.5915670544251
Mitchell Hamline,158.0,3.385,292.5204743745749
University of Missouri—Kansas City,158.0,3.28,292.4547523591582
University of North Texas at Dallas,158.0,3.2750000000000004,292.2883348743326
New England Law | Boston,156.0,3.38,292.2517502337796
University of Baltimore,157.0,3.335,291.97012432658846
University of Akron,158.0,3.335,291.8841430564098
Northern Kentucky University,156.0,3.36,291.3302523237932
Roger Williams University,155.0,3.4,291.31788100724816
William Mitchell College of Law,158.0,3.3,291.09807602680223
University of Tulsa,157.0,3.3,291.03454740963747
Creighton University,157.0,3.275,290.4854061390703
Loyola University—New Orleans,156.0,3.31,290.3405180525516
Ave Maria School Of Law,156.0,3.36,289.88133610931635
Charleston School Of Law,155.0,3.35,289.82829279037054
University of Dayton,155.0,3.33,289.58436580847086
University of Toledo,156.0,3.33,289.3881622102248
Capital University,154.5,3.395,289.1322487458195
North Carolina Central University,151.0,3.425,289.0393553987356
St. Mary's University,156.0,3.23,288.6416514509893
Western New England University,154.0,3.3,288.5795307861762
University of Detroit Mercy,155.0,3.34,288.57727619149523
"University of Arkansas, Little Rock",156.0,3.24,288.50841212116353
Valparaiso University,154.0,3.33,288.3461316374505
Golden Gate University,157.5,3.2,288.07875141555917
California Western School Of Law,156.0,3.25,288.0762712686241
University of Illinois—Chicago,155.5,3.285,288.051249414396
Washburn University,156.0,3.25,287.94817566250777
Southern Illinois University—Carbondale,154.0,3.3,287.67829114886
South Texas College Of Law—Houston,156.0,3.25,287.64870079616503
Widener University—Delaware,153.0,3.27,286.8505992637529
Western State College Of Law,155.5,3.23,285.82565594583224
Ohio Northern University,154.0,3.245,285.6840337818501
Northern Illinois University,154.0,3.22,285.20313389690364
Mississippi College,153.0,3.25,285.1483618044973
Oklahoma City University,153.0,3.2,283.5540540389184
St. Thomas University (Florida),153.0,3.22,283.33195673278993
Nova Southeastern University,154.0,3.18,283.22591886623246
Florida Coastal School Of Law,152.0,3.22,282.96988019832355
Touro College,152.0,3.145,282.45411752275976
Atlanta's John Marshall Law School,153.0,3.13,281.8626449436803
Thomas Jefferson School of Law,153.0,3.13,281.3713168844505
Florida A&M University,151.0,3.22,281.115963006149
Barry University,151.0,3.22,280.77829206296803
Western Michigan University (Cooley),151.5,3.18,280.42045524741116
Charlotte School of Law,153.0,3.1399999999999997,280.2615500806411
Whittier Law School,154.0,3.06,280.078986061262
Appalachian School of Law,151.0,3.07,277.64418437843176
Texas Southern University,150.0,3.0549999999999997,277.0618931132207
Southern University,148.5,3.0549999999999997,274.30710847250714
